"","keyword","video","parent_video","current_depth","title","width","height","duration","pubdate","channel","likes","dislikes","viewes","rating","reco_count","fetch_time","reco_list","elapsed","recoveredChannel","channel_title","Bias","positive","negative","sentiment","sentiment_ratio","lgpp","nrc_el","topic","Flesch","ARI","Flesch.Kincaid"
"490","Lindsey Graham","XwtPbucjyJA","j5izjrHQX-I",5,"The Super Sleeper Project 2.0 - YouTube",1920,1080,1015,"2021-01-01","UCYqUnouDuLVFS7Gvghwh5iA",-1,9,46793,4.9775982,0,"2021-06-10 23:17:18","",0.790811,"UCYqUnouDuLVFS7Gvghwh5iA","","",35,22,"positive",1.59090909090909,"GROUPS","surprise","diplomacy",-1377.30013176144,720.003952843273,563.598044382802
"491","Lindsey Graham","Q7aG-2m37J0","j5izjrHQX-I",5,"Track Day 2.0 - YouTube",1920,1080,388,"2021-04-19","UCYqUnouDuLVFS7Gvghwh5iA",993,4,52885,4.983952,0,"2021-06-10 23:17:26","",7.67983,"UCYqUnouDuLVFS7Gvghwh5iA","","",20,6,"positive",3.33333333333333,"GROUPS","surprise","diplomacy",-241.526764705882,166.2325,131.412941176471
"492","Lindsey Graham","EuvPjcyIXnY","j5izjrHQX-I",5,"Eps 1 - YouTube",480,360,430,"2020-09-30","UCYqUnouDuLVFS7Gvghwh5iA",-1,17,51005,4.9462028,0,"2021-06-10 23:17:35","",6.17335,"UCYqUnouDuLVFS7Gvghwh5iA","","",17,8,"positive",2.125,"GROUPS","surprise","diplomacy",-630.336114206128,355.97704735376,279.549777158774
"493","Lindsey Graham","sKNVgdRtzKs","DXGKt8sK8CQ",5,"450hp Tesla powered 1969 VW Crew Cab - UTTERLY INSANE ! - YouTube",1920,1080,1162,"2020-03-09","UCaCRaWzCHD6OyxVG5QbN1Ww",-1,245,366541,4.8506098,0,"2021-06-10 23:17:42","",4.240846,"UCaCRaWzCHD6OyxVG5QbN1Ww","","",145,40,"positive",3.625,"GROUPS","surprise","diplomacy",-3101.25442857143,1572.55952380952,1228.36987301587
"494","Lindsey Graham","xDioPc02J4Q","DXGKt8sK8CQ",5,"2020 Kia Soul EV - Even a Petrol Head would love this car ! - YouTube",1920,1080,1255,"2020-08-07","UCaCRaWzCHD6OyxVG5QbN1Ww",-1,31,41752,4.9131045,0,"2021-06-10 23:17:49","",7.381049,"UCaCRaWzCHD6OyxVG5QbN1Ww","","",163,56,"positive",2.91071428571429,"GROUPS","surprise","diplomacy",-3612.22820197044,1824.39968801314,1424.848106185
"495","Lindsey Graham","Gf_D8UjHWJg","DXGKt8sK8CQ",5,"Tesla Powered Beetle at Santa Pod drag strip - YouTube",1920,1080,157,"2020-10-19","UCq1Oqk1I7zeYlDiJTFWLoFA",784,21,58856,4.8956523,0,"2021-06-10 23:17:52","",0.419093,"UCq1Oqk1I7zeYlDiJTFWLoFA","","",4,1,"positive",4,"GROUPS","surprise","diplomacy",3.64500000000001,44.4778125,36.6
"496","Lindsey Graham","3LuGMdGC34Y","-NT8PZfzIjg",5,"2.3 LITER TYPE 4 VW PORSCHE 914 ENGINE STROKER REBUILD WITH ORIGINAL 911 COOLING FAN FOR '58 BUG - YouTube",1280,720,485,"2020-07-27","UClL9lA17VaR1VStpDyf4BjQ",462,21,59815,4.826087,0,"2021-06-10 23:18:04","",2.458897,"UClL9lA17VaR1VStpDyf4BjQ","","",3,0,"positive",0,"VALUES","trust","politics",41.475,10.78375,13.4366666666667
"497","Lindsey Graham","bJSYDBjkJNQ","-NT8PZfzIjg",5,"Why Subaru Engines FAIL - YouTube",1920,1080,863,"2020-06-15","UCDt9sBJp3Mne9_8xmb_XoWQ",-1,-1,2893557,4.8525071,0,"2021-06-10 23:18:04","",0.657631,"UCDt9sBJp3Mne9_8xmb_XoWQ","speedkar99","",45,104,"negative",0.432692307692308,"GROUPS","surprise","diplomacy",-3375.10299297835,1707.34152720889,1333.14492100644
"498","Lindsey Graham","hUHFphRfbTg","0asGm43F-Nw",5,"Matt Gaetz Grills FBI Director On Covid-19 Origin As He Faces Possible Investigation From The Bureau - YouTube",1920,1080,352,"2021-06-10","UCg40OxZ1GYh3u3jBntB6DLg",14,2,186,4.5,0,"2021-06-10 23:23:14","",3.050704,"UCg40OxZ1GYh3u3jBntB6DLg","Forbes Breaking News","RC",35,18,"positive",1.94444444444444,"INSTITUTIONS","trust","military",-939.6334,499.84507,392.7472
"499","Lindsey Graham","8d-JJOJwyws","qI0p9AurW-4",5,"Couple Converts Syncro Van for Extended Off Grid Travel - YouTube",-1,-1,740,"2017-09-14","",-1,-1,-1,-1,0,"2021-06-10 23:25:54","",3.883947,"","","",105,41,"positive",2.5609756097561,"GROUPS","surprise","diplomacy",-2013.03153512993,1036.28307025987,810.269942252166
"500","Lindsey Graham","Pp2GWv4osqw","qI0p9AurW-4",5,"Guy Travels with Rescue Cat in an Old 1985 Toyota Hiace Campervan (Van Tour) - YouTube",1920,1080,603,"2020-04-21","UC9ploqS5HTZsO2Wgecs_AjQ",-1,29,56491,4.9283509,0,"2021-06-10 23:25:56","",2.522365,"UC9ploqS5HTZsO2Wgecs_AjQ","Jordan Osmond","",77,27,"positive",2.85185185185185,"GROUPS","surprise","diplomacy",-1449.54980314961,759.496535433071,594.046509186352
"501","Lindsey Graham","V5eCH7sv-IQ","5h-B_t5xZSY",5,"WE HAVE A NEW DEADLINE | TRENT & ALLIE - YouTube",1920,1080,1846,"2021-06-04","UCwh2SF7McSUf1GVFVk0nP8w",-1,270,252475,4.966054,0,"2021-06-10 23:26:41","",2.995823,"UCwh2SF7McSUf1GVFVk0nP8w","","",284,93,"positive",3.05376344086022,"GROUPS","surprise","diplomacy",-4373.56578600636,2199.02523171286,1716.86346660609
"502","Lindsey Graham","z7ahKeE0aMI","aZOjPyQI-2c",5,"DIY Budget Stealth Box Truck tour - YouTube",1920,1080,1342,"2021-04-20","UCEj7rUaAeYi6nFTYoiXewQg",68,-1,1580,5,0,"2021-06-10 23:27:15","",4.694811,"UCEj7rUaAeYi6nFTYoiXewQg","","",161,81,"positive",1.98765432098765,"GROUPS","surprise","diplomacy",-4129.87233077292,2079.62085453673,1624.24414306289
"503","Lindsey Graham","iihB-SXXiiQ","Dx2O6HcieZI",5,"VAN TOUR | Box Truck Tiny Home Conversion - YouTube",1920,1080,1429,"2021-05-22","UCbdNP9qig1HSvBBFoqu1B8Q",702,14,16908,4.9217877,0,"2021-06-10 23:27:50","",2.636652,"UCbdNP9qig1HSvBBFoqu1B8Q","","",228,55,"positive",4.14545454545455,"GROUPS","surprise","diplomacy",-4035.2550982801,2032.59631695332,1587.19786240786
"504","Lindsey Graham","bUdotxA0ws8","Q8ptqoks5qU",5,"The Untold Story Of Emperor Vespasian | Vespasian | Odyssey - YouTube",1920,1080,4565,"2021-06-01","UCV-yCAXMS-nWrHtORuDfSuQ",-1,43,80014,4.8998251,0,"2021-06-10 23:30:35","",8.946772,"UCV-yCAXMS-nWrHtORuDfSuQ","Odyssey - Ancient History Documentaries","",469,349,"positive",1.34383954154728,"RURAL","fear","military",-9361.08481668638,4650.5260477368,3629.57041178368
"505","Lindsey Graham","9d-Z7V5kZvQ","8_2VIXsew2c",5,"Olympian Simone Biles: Larry Nassar ‘Took A Part Of Me That I Can’t Get Back’ | Megyn Kelly TODAY - YouTube",1920,1080,525,"2018-01-31","UChDKyKQ59fYz3JO2fl0Z6sg",-1,667,2483079,4.8979812,0,"2021-06-10 23:34:10","",2.209691,"UChDKyKQ59fYz3JO2fl0Z6sg","TODAY","LC",115,61,"positive",1.88524590163934,"URBAN","sadness","politics",81.2725479862896,3.59265209940017,5.1447206512425
"506","Lindsey Graham","GLMMrpRC5iE","u_riHHyAIvk",5,"HS Freshman Shocks Collegiate 800m - YouTube",1920,1080,161,"2020-01-25","UC1Fp52XJH8UKaa_gHMZrckw",-1,-1,14593940,4.356216,0,"2021-06-10 23:35:08","",2.48979,"UC1Fp52XJH8UKaa_gHMZrckw","FloTrack","",6,0,"positive",0,"URBAN","joy","politics",-79.08,81.1374545454545,65.28
"507","Lindsey Graham","vOR_rc4VtMY","7pKYmCp3-Hs",5,"Gabbie Hanna Controversy | Are Gabbie's Statements Regarding ADHD Accurate? - YouTube",1920,1080,754,"2021-06-10","UCC_0vyFTKk1Nlodo4QsiQkw",-1,24,17370,4.9447641,0,"2021-06-10 23:41:53","",2.888312,"UCC_0vyFTKk1Nlodo4QsiQkw","Dr. Todd Grande","",77,103,"negative",0.747572815533981,"CULTURE","negative","society",-1969.1408250497,1006.413444334,787.751829025845
"508","Lindsey Graham","kApOAa74Cc0","7pKYmCp3-Hs",5,"10 Signs of a Husband with Psychopathic Traits - YouTube",1920,1080,994,"2019-10-26","UCC_0vyFTKk1Nlodo4QsiQkw",-1,191,284511,4.9147987,0,"2021-06-10 23:41:58","",2.584518,"UCC_0vyFTKk1Nlodo4QsiQkw","Dr. Todd Grande","",117,139,"negative",0.841726618705036,"CULTURE","negative","society",-2794.23626723224,1414.48892895016,1105.8016542948
"509","Lindsey Graham","0eG4oldh2x8","7pKYmCp3-Hs",5,"Nine Signs of the Narcissistic Mother | Mother-Daughter Relationships - YouTube",1920,1080,1092,"2019-07-11","UCC_0vyFTKk1Nlodo4QsiQkw",-1,463,637878,4.9147682,0,"2021-06-10 23:42:03","",5.122801,"UCC_0vyFTKk1Nlodo4QsiQkw","Dr. Todd Grande","",146,123,"positive",1.1869918699187,"CULTURE","negative","society",-2996.2693216413,1512.53553606883,1181.92778954335
"510","Lindsey Graham","xHotXbGZiFY","k1BneeJTDcU",4,"White Woman's Instagram -- Bo Burnham (from ""Inside"" -- ALBUM OUT NOW) - YouTube",1920,1080,247,"2021-06-10","UC81hVmI5eEBIt3s3HQpJd_w",-1,456,640175,4.9774137,5,"2021-06-10 23:42:13","k1BneeJTDcU,OpPjK8uW4u0,rYy0o-J0x20,Eo9pU1q8sy8,ChgFo74WxZ8",2.311202,"UC81hVmI5eEBIt3s3HQpJd_w","","",10,6,"positive",1.66666666666667,"VALUES","anger","politics",-138.230412844037,108.00880733945,86.6969724770642
"511","Lindsey Graham","OpPjK8uW4u0","xHotXbGZiFY",5,"Bo Burnham On Anxiety - YouTube",1920,1080,654,"2018-07-13","UCLtREJY21xRfCuEKvdki1Kw",-1,352,1297951,4.9688387,0,"2021-06-10 23:42:18","",2.406196,"UCLtREJY21xRfCuEKvdki1Kw","H3 Podcast","",178,94,"positive",1.8936170212766,"VALUES","anger","society",-2081.22461789376,1070.19052190121,836.674603914259
"512","Lindsey Graham","Eo9pU1q8sy8","xHotXbGZiFY",5,"art is dead. - YouTube",480,360,150,"2010-10-28","UC81hVmI5eEBIt3s3HQpJd_w",-1,-1,18734162,4.9686189,0,"2021-06-10 23:42:26","",7.345656,"UC81hVmI5eEBIt3s3HQpJd_w","","",19,18,"positive",1.05555555555556,"VALUES","joy","politics",-215.632459016393,149.91,119.106229508197
"513","Lindsey Graham","5albiepYGq0","lrbaDxQUDdQ",5,"Bo Burnham Moments That Live In My Head Rent Free - YouTube",1920,1080,561,"2021-05-01","UCcHi7dTJO8UFUn5-dWkn9dA",-1,111,396200,4.9688749,0,"2021-06-10 23:42:33","",2.420746,"UCcHi7dTJO8UFUn5-dWkn9dA","","",119,51,"positive",2.33333333333333,"VALUES","disgust","politics",-1622.49992924528,845.087853773585,660.899174528302
"514","Lindsey Graham","LZoO8LyizLA","Eo9pU1q8sy8",5,"My Whole Family... - YouTube",480,360,271,"2006-12-21","UC81hVmI5eEBIt3s3HQpJd_w",-1,-1,11155784,4.939662,0,"2021-06-10 23:43:04","",0.65013,"UC81hVmI5eEBIt3s3HQpJd_w","","",13,11,"positive",1.18181818181818,"VALUES","joy","politics",-190.883240418118,139.958153310105,111.182508710801
"515","Lindsey Graham","W0quDfpfRUQ","Eo9pU1q8sy8",5,"welcome to youtube. - YouTube",480,360,240,"2008-11-25","UC81hVmI5eEBIt3s3HQpJd_w",-1,-1,10877604,4.9371839,0,"2021-06-10 23:43:05","",0.588409,"UC81hVmI5eEBIt3s3HQpJd_w","","",31,11,"positive",2.81818181818182,"VALUES","joy","politics",-130.274908256881,107.328233944954,85.5873394495413
"516","Lindsey Graham","Z-ap5Fp2T6c","LZoO8LyizLA",5,"i'm bo yo. - YouTube",480,360,248,"2008-06-17","UC81hVmI5eEBIt3s3HQpJd_w",-1,-1,32605265,4.910326,0,"2021-06-10 23:43:09","",0.702126,"UC81hVmI5eEBIt3s3HQpJd_w","","",43,22,"positive",1.95454545454545,"VALUES","joy","politics",-300.267285082174,195.231453855879,153.393811630847
